IBAN,First Name,Middle Name,Last Name,Email,Date of Birth,1st Nationality,2nd Nationality,Country of Residence,Currency,Amount
FR0512739000707781931497J55,Laura,Adilene ,Joly,laurathejoly@gmail.com,22/04/1975,French,Belgian,France,EUR,42553
FR4310096000302993365613Z45,Laura,Adilene ,Joly,laurathejoly@gmail.com,22/04/1975,French,Belgian,France,EUR,85165
FR5030003000302439135341U74,Ines,,Payet,ines.payet@hotmail.com,18/06/1982,French,,France,EUR,54021
FR3114508000406897881422F89,Ines,,Payet,ines.payet@hotmail.com,18/06/1982,French,,France,EUR,86381
FR9517569000306986388366R17,Ines,,Payet,ines.payet@hotmail.com,18/06/1982,French,,France,EUR,841
FR4810096000303888799761G23,Ines,,Payet,ines.payet@hotmail.com,18/06/1982,French,,France,EUR,11254
FR8512739000704514854154R94,Valentine,Arthur,Chevalier,vchevalier@gmail.com,26/12/2000,French,,France,EUR,24101
FR5510096000504639798521O43,Valentine,Arthur,Chevalier,vchevalier@gmail.com,26/12/2000,French,,France,EUR,61844
FR1310096000402492458439H47,Valentine,Arthur,Chevalier,vchevalier@gmail.com,26/12/2000,French,,France,EUR,69224
FR7214508000403745348782E77,Ninon,Armand,Caudron,ninon.caud@gmail.com,01/07/1979,French,Luxembougian,France,EUR,46293
FR1414508000706968984762D61,Jean,,Marie,jeanmarie@hotmail.com,10/09/1985,French,,France,EUR,51995
FR7610096000404975259173J03,Jean,,Marie,jeanmarie@hotmail.com,10/09/1985,French,,France,EUR,30970
FR9330003000502498465748A34,Jean,,Marie,jeanmarie@hotmail.com,10/09/1985,French,,France,EUR,79473
FR2214508000302822168621G68,Jean,,Marie,jeanmarie@hotmail.com,10/09/1985,French,,France,EUR,66008
FR9530003000704736552382W61,Lisa,Colette,Gaillard,lgaillard@gmail.com,31/03/1953,French,,France,EUR,22557
FR1130003000502439767293N55,Lisa,Colette,Gaillard,lgaillard@gmail.com,31/03/1953,French,,France,EUR,39473
FR0817569000304745714979I34,Alice,Blanche ,Gaillard,alice.gaillard@gmail.com,09/12/1992,French,,France,EUR,57321
FR0212739000509282944437D37,Alice,Blanche ,Gaillard,alice.gaillard@gmail.com,09/12/1992,French,,France,EUR,95714
FR1330003000403261577574U97,Alice,Blanche ,Gaillard,alice.gaillard@gmail.com,09/12/1992,French,,France,EUR,79033
FR2217569000701464441777M80,Alice,Blanche ,Gaillard,alice.gaillard@gmail.com,09/12/1992,French,,France,EUR,64915
FR0712739000403279633239X76,Sophie,,Dupont,sophie.dupont@gmail.com,09/10/2003,French,,UK,EUR,60046
FR4330003000401185591429S66,Sophie,,Dupont,sophie.dupont@gmail.com,09/10/2003,French,,UK,EUR,58257
FR2512739000404918142746Y12,Sophie,,Dupont,sophie.dupont@gmail.com,09/10/2003,French,,UK,EUR,12921
FR8514508000404462587997T50,Nathan,Monet ,Fabre,nfabre@aol.com,07/10/1967,French,Algerian,UK,EUR,42984
FR0830003000508584274236R37,Nathan,Monet ,Fabre,nfabre@aol.com,07/10/1967,French,Algerian,UK,EUR,67155
FR6630003000504329256462X97,Felix,,Nguyen,felix.nguyen@gmail.com,24/12/1984,French,Vietnamese,Germany,EUR,18028
FR1310096000303214816862H47,Felix,,Nguyen,felix.nguyen@gmail.com,24/12/1984,French,Vietnamese,Germany,EUR,99039
FR3130003000405952483134N95,Felix,,Nguyen,felix.nguyen@gmail.com,24/12/1984,French,Vietnamese,Germany,EUR,33841
FR1430003000307735196279D61,Tristan,,Marchand,tris.marchand@hotmail.com,17/11/1990,French,,Netherlands,EUR,57098
FR0910096000308932676787I36,Tristan,,Marchand,tris.marchand@hotmail.com,17/11/1990,French,,Netherlands,EUR,6822
IE07BOFI900017262378,Matthew,Patrick,Higgins,mhiggens123@gmail.com,15/12/1998,Irish,,Ireland,EUR,92845
IE14BOFI900017969867,Matthew,Patrick,Higgins,mhiggens123@gmail.com,15/12/1998,Irish,,Ireland,EUR,98217
IE21BOFI900017468348,Lauren,Moire,O'Keeffe,lauren.okeeffe@gmail.com,27/10/1978,Irish,,Ireland,EUR,43281
IE41BOFI900017242657,Lauren,Moire,O'Keeffe,lauren.okeeffe@gmail.com,27/10/1978,Irish,,Ireland,EUR,81631
IE70BOFI900017761473,Lauren,Moire,O'Keeffe,lauren.okeeffe@gmail.com,27/10/1978,Irish,,Ireland,EUR,38960
IE91BOFI900017187437,Lauren,Moire,O'Keeffe,lauren.okeeffe@gmail.com,27/10/1978,Irish,,Ireland,EUR,19680
IE98BOFI900017336982,Henry,Frank,Murray,hmurray987@hotmail.com,29/11/1990,Irish,German,Ireland,EUR,24208
IE95BOFI900017716694,Henry,Frank,Murray,hmurray987@hotmail.com,29/11/1990,Irish,German,Ireland,EUR,49297
IE09BOFI900017548783,Edward,,Smith,edward2smith@gmail.com,27/11/1988,Irish,British,Ireland,EUR,61213
IE20BOFI900017356622,Edward,,Smith,edward2smith@gmail.com,27/11/1988,Irish,British,Ireland,EUR,11711
IE28BOFI900017586853,Rian,,Fitzpatrick,fitzpatickr1an@gmail.com,04/05/1967,Irish,,UK,EUR,84139
IE31BOFI900017833664,Rian,,Fitzpatrick,fitzpatickr1an@gmail.com,04/05/1967,Irish,,UK,EUR,29727
IE21BOFI900017598425,Rian,,Fitzpatrick,fitzpatickr1an@gmail.com,04/05/1967,Irish,,UK,EUR,59054
IE02BOFI900017832537,Rian,,Fitzpatrick,fitzpatickr1an@gmail.com,04/05/1967,Irish,,UK,EUR,3952
IE75BOFI900017357475,Grace,,Keogh,grac3.keogh145@aol.com,02/02/1990,Irish,British,UK,EUR,99481
IE94BOFI900017672868,Grace,,Keogh,grac3.keogh145@aol.com,02/02/1990,Irish,British,UK,EUR,48801
IE11BOFI900017679891,Edward,,Smith,edward2smith@gmail.com,27/11/1988,Irish,British,Ireland,EUR,56023
IE98BOFI900017365694,Henry,Frank,Murray,hmurray987@hotmail.com,29/11/1990,Irish,German,Ireland,EUR,97995
IE95BOFI900017115391,Bella,,Sheehan,sheebella@gmail.com,22/03/1989,Irish,Italian,Ireland,EUR,68173
IE52BOFI900017434713,Bella,,Sheehan,sheebella@gmail.com,22/03/1989,Irish,Italian,Ireland,EUR,29349
IE34BOFI900017982796,Bella,,Sheehan,sheebella@gmail.com,22/03/1989,Irish,Italian,Ireland,EUR,22980
IE05BOFI900017536924,Bella,,Sheehan,sheebella@gmail.com,22/03/1989,Irish,Italian,Ireland,EUR,29219
IE75BOFI900017789222,Finn,Padraig,O'Connor,foconnor@gmail.com,07/10/1995,Irish,,Ireland,EUR,55625
IE22BOFI900017291887,Finn,Padraig,O'Connor,foconnor@gmail.com,07/10/1995,Irish,,Ireland,EUR,49875
IE36BOFI900017395328,Ada,,Flynn,flynn.ada@gmail.com,24/11/1956,Irish,,Ireland,EUR,34084
IE31BOFI900017336733,Ada,,Flynn,flynn.ada@gmail.com,24/11/1956,Irish,,Ireland,EUR,67606
IE21BOFI900017119245,Matthew,,Bell,matt.bell@hotmail.com,28/11/1972,Irish,,Ireland,EUR,24178
IE07BOFI900017421555,Thomas,,Scott,thomas.thescott@gmail.com,06/10/1977,Irish,,USA,EUR,38894
IE40BOFI900017675198,Thomas,,Scott,thomas.thescott@gmail.com,06/10/1977,Irish,,USA,EUR,1496
IE19BOFI900017135383,Thomas,,Scott,thomas.thescott@gmail.com,06/10/1977,Irish,,USA,EUR,24770
IE20BOFI900017728714,Rose,,MacCarthy,rose.mc569@aol.com,23/01/1960,Irish,American,USA,EUR,15944
IE95BOFI900017664993,Lily,,Reid,lily.reid1995@gmail.com,28/03/1995,Irish,,Australia,EUR,36716
IE13BOFI900017125888,Lily,,Reid,lily.reid1995@gmail.com,28/03/1995,Irish,,Australia,EUR,26343
IE33BOFI900017316812,Lily,,Reid,lily.reid1995@gmail.com,28/03/1995,Irish,,Australia,EUR,25687
